no,specimen_id,skeleton_code,element,asa_bones_type,location,district,date_found,browRidge,mastoidSize,jawShape,cranialSuture,subpubicAngle,sciaticNotch,pubicSymphysis,femurLength,femurHeadDiameter,growthPlate,humerusLength,boneRobusticity,ribShape,sternumLength,teethType,dentalWear,eruptionStage,expected_sex,expected_age,expected_height_cm,asa_predicts_sex,asa_predicts_age,asa_predicts_height,asa_confidence,asa_limits,note
23,CHASA-949,SK-949,Fibula,Lower Limb,Kantarodai,Jaffna,2023-03-17,,,,,,,,459,47.8,Partially Fused,,,,,,,,Male,18-25,171.2,Male,18 - 25,171.3 cm,92.0%,age from growth plate only — cannot resolve above 25+,
24,CHASA-950,SK-950,Radius,Upper Limb,Ibbankatuwa,Matale,2018-06-16,,,,,,,,,,,278,Gracile,,,,,,Female,55+,157.8,Female,Unknown,157.7 cm,85.0%,no age indicator,
25,CHASA-951,SK-951,Radius,Upper Limb,Bellanbandi Palassa,Ratnapura,2014-05-17,,,,,,,,,,,292,Robust,,,,,,Male,18-25,161.5,Male,Unknown,161.4 cm,85.0%,no age indicator,
26,CHASA-952,SK-952,Humerus,Upper Limb,Bellanbandi Palassa,Ratnapura,2022-05-15,,,,,,,,,,,242,Gracile,,,,,,Female,12-18,148.1,Female,Unknown,148.0 cm,85.0%,no age indicator,
27,CHASA-953,SK-953,Scapula,Upper Limb,Bellanbandi Palassa,Ratnapura,2015-08-19,,,,,,,,,,,300,Robust,,,,,,Male,25-35,163.7,Male,Unknown,163.6 cm,85.0%,no age indicator,
28,CHASA-954,SK-954,Radius,Upper Limb,Mihintale,Anuradhapura,2019-07-11,,,,,,,,,,,269,,,,,,,Unknown,18-25,155.4,Indeterminate,Unknown,155.3 cm,75.0%,no age indicator,AMBIGUOUS - indicators conflict
29,CHASA-955,SK-955,Radius,Upper Limb,Fa Hien Cave,Kalutara,2017-02-11,,,,,,,,,,,285,Gracile,,,,,,Female,35-45,159.6,Female,Unknown,159.6 cm,85.0%,no age indicator,
30,CHASA-956,SK-956,Radius,Upper Limb,Batadomba Lena,Ratnapura,2023-03-19,,,,,,,,,,,298,Robust,,,,,,Male,12-18,163.1,Male,Unknown,163.1 cm,85.0%,no age indicator,
31,CHASA-957,SK-957,Scapula,Upper Limb,Fa Hien Cave,Kalutara,2014-02-10,,,,,,,,,,,316,Robust,,,,,,Male,18-25,168,Male,Unknown,167.9 cm,85.0%,no age indicator,
32,CHASA-958,SK-958,Humerus,Upper Limb,Godavaya,Hambantota,2017-09-12,,,,,,,,,,,254,Gracile,,,,,,Female,35-45,151.2,Female,Unknown,151.3 cm,85.0%,no age indicator,
33,CHASA-959,SK-959,Ilium,Pelvis,Kantarodai,Jaffna,2023-04-11,,,,,Wide,Wide,Degenerated / Eroded,,,,,,,,,,,Female,55+,,Female,55+,Unknown,93.0%,,
34,CHASA-960,SK-960,Ilium,Pelvis,Godavaya,Hambantota,2016-04-17,,,,,Narrow,Narrow,Rough / Granular,,,,,,,,,,,Male,45-55,,Male,40 - 55,Unknown,93.0%,,
35,CHASA-961,SK-961,Innominate,Pelvis,Ibbankatuwa,Matale,2018-05-18,,,,,Narrow,Narrow,Rough / Granular,,,,,,,,,,,Male,35-45,,Male,40 - 55,Unknown,93.0%,,
36,CHASA-962,SK-962,Sacrum,Pelvis,Godavaya,Hambantota,2023-01-14,,,,,,,Smooth / Flat,,,,,,,,,,,Unknown,18-25,,Indeterminate,18 - 25,Unknown,79.0%,,AMBIGUOUS - indicators conflict
37,CHASA-963,SK-963,Sacrum,Pelvis,Godavaya,Hambantota,2022-01-17,,,,,Wide,Wide,Degenerated / Eroded,,,,,,,,,,,Female,55+,,Female,55+,Unknown,93.0%,,
38,CHASA-964,SK-964,Ilium,Pelvis,Tissamaharama,Hambantota,2019-06-13,,,,,Wide,Wide,Rough / Granular,,,,,,,,,,,Female,35-45,,Female,40 - 55,Unknown,93.0%,,
39,CHASA-965,SK-965,Pelvis,Pelvis,Bellanbandi Palassa,Ratnapura,2018-05-11,,,,,Wide,Wide,Rough / Granular,,,,,,,,,,,Female,35-45,,Female,40 - 55,Unknown,93.0%,,
40,CHASA-966,SK-966,Innominate,Pelvis,Polonnaruwa,Polonnaruwa,2021-09-14,,,,,Wide,Wide,Rough / Granular,,,,,,,,,,,Female,45-55,,Female,40 - 55,Unknown,93.0%,,
41,CHASA-967,SK-967,Vertebra,Thorax,Pomparippu,Puttalam,2017-03-18,,,,,,,,,,,,,Smooth,146,,,,Female,12-18,,Indeterminate,18 - 30,Unknown,80.0%,no sex indicator,
42,CHASA-968,SK-968,Rib,Thorax,Bellanbandi Palassa,Ratnapura,2021-09-12,,,,,,,,,,,,,Scalloped Edges,156,,,,Female,45-55,,Indeterminate,30 - 50,Unknown,80.0%,no sex indicator,
43,CHASA-969,SK-969,Vertebra,Thorax,Godavaya,Hambantota,2024-07-10,,,,,,,,,,,,,Scalloped Edges,150,,,,Female,35-45,,Indeterminate,30 - 50,Unknown,80.0%,no sex indicator,
44,CHASA-970,SK-970,Rib,Thorax,Bellanbandi Palassa,Ratnapura,2022-03-15,,,,,,,,,,,,,Smooth,147,,,,Unknown,18-25,,Indeterminate,18 - 30,Unknown,80.0%,no sex indicator,AMBIGUOUS - indicators conflict
45,CHASA-971,SK-971,Rib,Thorax,Godavaya,Hambantota,2023-03-16,,,,,,,,,,,,,Smooth,170,,,,Male,18-25,,Indeterminate,18 - 30,Unknown,80.0%,no sex indicator,
46,CHASA-972,SK-972,Premolar,Teeth,Fa Hien Cave,Kalutara,2013-06-11,,,,,,,,,,,,,,,Permanent,Moderate,Complete,Male,45-55,,Indeterminate,35 - 50,Unknown,89.0%,no sex indicator,
47,CHASA-973,SK-973,Incisor,Teeth,Anuradhapura Citadel,Anuradhapura,2024-02-18,,,,,,,,,,,,,,,Permanent,Moderate,Complete,Female,45-55,,Indeterminate,35 - 50,Unknown,89.0%,no sex indicator,
48,CHASA-974,SK-974,Canine,Teeth,Pomparippu,Puttalam,2024-07-19,,,,,,,,,,,,,,,Permanent,Moderate,Complete,Male,45-55,,Indeterminate,35 - 50,Unknown,89.0%,no sex indicator,
49,CHASA-975,SK-975,Incisor,Teeth,Bellanbandi Palassa,Ratnapura,2017-04-14,,,,,,,,,,,,,,,Permanent,Moderate,Complete,Male,35-45,,Indeterminate,35 - 50,Unknown,89.0%,no sex indicator,
50,CHASA-976,SK-976,Premolar,Teeth,Tissamaharama,Hambantota,2013-05-16,,,,,,,,,,,,,,,Permanent,Moderate,Complete,Female,35-45,,Indeterminate,35 - 50,Unknown,89.0%,no sex indicator,
